섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
식품 가공,54102020,000019,Shenzhen Cereals Holdings Co Ltd Class A,szse,2026-08-18,6.96,7.18,6.85,7.17,+9.63%,+4.52%,0.32,4.67,"33,755,584",242,N/A
식품 가공,54102020,000019,Shenzhen Cereals Holdings Co Ltd Class A,szse,2026-08-21,105.20,105.50,103.40,105.40,+25.63%,+1.15%,1.10,1.05,"887,310",93,N/A
식품 가공,54102020,002086,Shandong Oriental Ocean Sci-Tech Co Ltd Class A,szse,2026-08-26,2.16,2.22,2.14,2.19,+13.47%,+8.96%,0.03,1.39,"81,805,062",179,N/A
식품 가공,54102020,002234,Shandong Minhe Animal Husbandry Co Ltd Class A,szse,2026-08-26,8.02,8.12,7.95,8.10,+1.63%,+3.45%,0.08,1.0,"4,418,384",35,N/A
식품 가공,54102020,002626,Xiamen Kingdomway Group Co Class A,szse,2026-08-26,16.87,17.12,16.62,16.91,+13.51%,+2.61%,0.04,0.24,"6,666,418",112,N/A
식품 가공,54102020,002695,Jiangxi Huangshanghuang Group Food Co Ltd Class A,szse,2026-08-25,"1,746","1,764","1,735","1,750",+6.58%,+1.80%,8,0.46,"233,000",407,N/A
식품 가공,54102020,002982,Hunan Xiangjia Animal Husbandry Co Ltd Class A,szse,2026-08-14,425,430,425,428,+3.71%,+1.18%,3,0.71,"158,900",68,N/A
어업 및 농업,54102010,000061,Shenzhen Agricultural Power Group Co Ltd Class A,szse,2026-06-02,6.27,6.35,6.11,6.28,-3.79%,+8.28%,0.18,2.95,"37,810,737",237,N/A
어업 및 농업,54102010,001201,Dongrui Food Group Co Ltd Class A,szse,2026-08-26,12.13,12.25,12.02,12.20,+1.67%,+1.67%,0.07,0.58,"2,522,325",30,N/A
어업 및 농업,54102010,002041,Shandong Denghai Seeds Co.  Ltd. Class A,szse,2026-08-25,11.21,11.49,10.71,11.23,+26.61%,+10.31%,0.45,4.17,"102,466,182","1,150",N/A
어업 및 농업,54102010,002100,Tecon Biology Co Ltd Class A,szse,2026-08-26,7.34,7.45,7.20,7.40,+12.86%,+3.21%,0.06,0.82,"22,071,882",163,N/A
어업 및 농업,54102010,002321,Henan Huaying Agricultural Development Co Ltd Class A,szse,2026-08-18,2.09,2.12,2.04,2.11,+7.11%,+3.43%,0.05,2.43,"36,539,100",77,N/A
어업 및 농업,54102010,002548,Shenzhen Kingsino Technology Co Ltd Class A,szse,2026-08-18,4.27,4.30,4.14,4.29,+2.63%,+1.66%,0.11,2.63,"27,343,802",117,N/A
어업 및 농업,54102010,000998,Yuan Long Ping High-Tech Agriculture Co.  Ltd. Class A,szse,2026-08-26,8.06,8.19,7.96,8.18,+10.24%,+3.81%,0.12,1.55,"31,859,440",260,N/A
어업 및 농업,54102010,300189,Hainan Shennong Seed Industry Technology Co Ltd Class A,szse,2026-08-20,6.34,6.80,6.11,6.63,+26.53%,+4.57%,0.55,9.05,"331,630,244","2,198",N/A
여가 및 오락시설,53301040,002627,Hubei Three Gorges Tourism Group Co Ltd Class A,szse,2026-06-03,7.10,7.20,6.91,7.16,-1.41%,+9.65%,0.18,2.58,"33,994,512",243,N/A
오일 관련 서비스 및 장비,50103020,002353,Yantai Jereh Oilfield Services Group Co Ltd Class A,szse,2026-08-25,271,273,269,272,+11.02%,+0.74%,1,0.37,"1,673,300",455,N/A
"오일, 가스 탐사 및 생산",50102020,300191,Sino Geophysical Co Ltd Class A,szse,2026-08-26,37.19,38.40,36.81,37.49,+13.95%,+12.92%,0.30,0.81,"18,798,187",704,N/A
"오일, 가스 탐사 및 생산",50102020,300483,Sino Prima Gas Technology Co Ltd Class A,szse,2026-08-11,24.88,25.65,24.59,25.58,+22.98%,+13.04%,0.88,3.56,"12,413,881",317,N/A
온라인 서비스,57201030,003010,Guangzhou Ruoyuchen Technology Co Ltd Class A,szse,2026-08-25,30,31.33,29.51,31.10,+20.06%,+6.65%,1.22,4.08,"16,110,206",501,N/A
온라인 서비스,57201030,002315,Focus Technology Co Ltd Class A,szse,2026-08-24,66,67,65,66,+3.12%,+1.54%,1,1.54,"4,983,700",328,N/A
온라인 서비스,57201030,301381,Sailvan Times Co Ltd Class A,szse,2026-08-04,23.62,23.79,22.76,23.66,+22.85%,+1.24%,0.66,2.87,"8,223,530",194,N/A
은행,55101010,002966,Bank of Suzhou Co Ltd Class A,szse,2026-08-26,8.71,8.78,8.58,8.76,+7.64%,+1.27%,0.05,0.57,"34,202,543",299,N/A
의료 시설 및 서비스,56102010,002622,Whole Shine Medical Technology Co Ltd Class A,szse,2026-08-26,2.66,2.70,2.63,2.67,+1.52%,+4.30%,0.01,0.38,"27,914,200",74,N/A
"의료 장비, 물품 및 유통",56101020,300677,Intco Medical Technology Co Ltd Class A,szse,2026-08-26,52.20,56.28,52.50,56.09,+24.66%,+14.52%,3.89,7.45,"15,924,704",893,N/A
"의료 장비, 물품 및 유통",56101020,300981,Zhonghong Pulin Medical Products Co Ltd Class A,szse,2026-08-07,16.06,17.18,15.39,16.87,+32.42%,+9.55%,1.58,10.33,"33,385,137",563,N/A
의류 및 액세서리,53202020,002003,Zhejiang Weixing Industrial Development Co Ltd Class A,szse,2026-08-26,10.97,11.96,11.11,11.73,+26.13%,+11.50%,0.76,6.93,"37,487,011",439,N/A
의류 및 액세서리,53202020,002574,Zhejiang Ming Jewelry Co Ltd Class A,szse,2026-06-02,5.01,5.18,4.90,5.11,+0.20%,+9.66%,0.11,2.2,"30,042,000",153,N/A
의류 및 액세서리 소매,53403040,000025,Shenzhen Tellus Holding Co.  Ltd. Class A,szse,2026-08-25,16,17.45,15.66,16.66,+6.79%,+7.62%,0.70,4.39,"25,277,760",421,N/A
"자동차, 트럭 및 오토바이 부품",53101020,001380,Hwaway Technology Corp Ltd Class A,szse,2026-08-26,17.35,17.66,17.21,17.59,+0.33%,+6.54%,0.24,1.38,"2,850,168",50,N/A
"자동차, 트럭 및 오토바이 부품",53101020,000887,Anhui Zhongding Sealing Parts Co Ltd Class A,szse,2026-08-26,0.31,0.31,0.30,0.31,+22.00%,+3.39%,0,0.0,"1,890,000",0,N/A
"자동차, 트럭 및 오토바이 부품",53101020,002126,Zhejiang Yinlun Machinery Co Ltd Class A,szse,2026-08-26,2.15,2.25,2.12,2.25,+17.80%,+19.36%,0.10,4.65,"1,397,500",3,N/A
"자동차, 트럭 및 오토바이 부품",53101020,002510,Tianjin Motor Dies Co Ltd Class A,szse,2026-08-26,12.80,13.61,12.41,13.52,+51.40%,+20.18%,0.72,5.63,"8,428,214",113,N/A
"자동차, 트럭 및 오토바이 부품",53101020,002488,Zhejiang Jingu Co Ltd Class A,szse,2026-08-13,"1,475","1,481","1,452","1,478",+5.57%,+1.37%,19,1.3,"14,400",21,N/A
전기 부품 및 장비,52102030,002418,Zhe Jiang Kangsheng Co Ltd Class A,szse,2026-06-23,4.87,4.91,4.54,4.91,+5.59%,+37.92%,0.45,10.09,"256,072,436","1,257",N/A
전기 부품 및 장비,52102030,002953,GuangDong Rifeng Electric Cable Co Ltd Class A,szse,2026-08-19,11.73,11.88,10.70,11.88,+11.65%,+6.45%,1.08,10.0,"18,881,867",224,N/A
전기 부품 및 장비,52102030,002168,Chongqing Hifuture Information Technology Co Ltd Class A,szse,2026-08-26,"1,685","1,714","1,669","1,703",+5.71%,+2.71%,18,1.07,"191,100",325,N/A
전기 부품 및 장비,52102030,002733,Shenzhen Center Power Tech Co Ltd Class A,szse,2026-08-26,"2,730","2,744","2,714","2,731",+5.57%,+2.71%,1,0.04,"70,400",192,N/A
